HDI Rank,Country,1995,2000,2005,2010,2011,2012,2013
171, Afghanistan,46.2,45.4,43.8,44,43.9,43.7,44
85, Albania,53.9,53.8,51.2,47.3,47.4,47.4,46.3
83, Algeria,32.1,30.7,36.3,38.8,39,38.9,39.6
149, Angola,67,66.4,65.5,64.9,65,65,65.2
40, Argentina,47.1,49.2,55.6,55.8,56.2,56.3,56.2
85, Armenia,50.2,52.4,43.6,49.9,51.5,52.1,53.2
2, Australia,58.4,59.4,61.3,62.2,62.3,61.9,61.5
23, Austria,56.8,56,55.8,57.9,58.2,58.3,58
78, Azerbaijan,59.6,56.5,59.5,60.9,61.5,62.2,62.5
55, Bahamas,66.3,65.4,65.2,63.2,64,63.7,64.1
45, Bahrain,60.5,61.7,60.2,65.3,65.4,65.3,65
142, Bangladesh,71.4,68.4,67.6,67.5,67.6,67.6,67.8
57, Barbados,55.8,63.2,64.2,63.5,63.3,63,62.5
50, Belarus,58.6,54.6,52.8,51.7,52.1,52.4,52.7
21, Belgium,45.7,48.7,48.7,49.4,49.2,49,48.8
101, Belize,52.4,54.9,55.8,58.4,57.4,56.1,56
166, Benin,72.3,71.8,71.4,72,72,72.1,72.1
132, Bhutan,61.9,65.6,69,69.1,69.6,70.6,70.9
119, Bolivia (Plurinational State of),65,67.1,67.3,69.9,70.3,70.4,70.6
85, Bosnia and Herzegovina,34.2,34,32.4,32.9,32.7,32.5,32.5
106, Botswana,58.2,58.4,59.2,62.9,63,63.1,62.6
75, Brazil,65,61.7,63.7,64.5,65.3,65.6,65.6
31, Brunei Darussalam,63.7,65,64.4,62.5,62.2,61.9,61.6
59, Bulgaria,46.1,41.8,45.2,47.9,46.6,46.6,46.4
183, Burkina Faso,81.3,80.8,81.2,80.8,80.8,80.7,80.8
184, Burundi,81.2,78.1,76.6,76.4,76.6,76.7,76.9
122, Cabo Verde,58.5,59.2,60.3,61.8,62.2,62.5,62.8
143, Cambodia,79,76.6,79.7,82.1,82.2,82.3,82.3
153, Cameroon,66.3,64.8,66.1,67.2,67.3,67.5,67.4
9, Canada,58.3,60.8,62.2,61.3,61.5,61.5,61.5
