HDI Rank,Country,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013,2014
171, Afghanistan,0.335,0.394,0.46,0.509,0.54,0.569,0.6,0.605,0.611,0.615,0.622
85, Albania,0.772,0.791,0.797,0.803,0.834,0.86,0.875,0.878,0.882,0.886,0.889
83, Algeria,0.588,0.678,0.718,0.74,0.772,0.803,0.828,0.832,0.835,0.84,0.843
34, Andorra,0.845,0.858,0.869,0.883,0.906,0.926,0.935,0.937,0.94,0.942,0.943
149, Angola,0.311,0.32,0.326,0.34,0.388,0.44,0.472,0.478,0.485,0.491,0.497
58, Antigua and Barbuda,0.752,0.772,0.791,0.806,0.823,0.838,0.852,0.855,0.857,0.86,0.863
40, Argentina,0.762,0.778,0.794,0.811,0.828,0.843,0.855,0.858,0.86,0.863,0.866
85, Armenia,0.783,0.765,0.737,0.752,0.792,0.823,0.834,0.835,0.837,0.84,0.842
2, Australia,0.837,0.857,0.874,0.894,0.915,0.937,0.951,0.952,0.955,0.957,0.96
23, Austria,0.808,0.831,0.854,0.872,0.894,0.915,0.932,0.935,0.938,0.942,0.945
78, Azerbaijan,0.692,0.703,0.691,0.686,0.722,0.754,0.777,0.778,0.78,0.78,0.782
55, Bahamas,0.746,0.765,0.78,0.791,0.806,0.828,0.843,0.845,0.848,0.849,0.852
45, Bahrain,0.762,0.788,0.806,0.822,0.838,0.851,0.862,0.865,0.866,0.868,0.871
142, Bangladesh,0.515,0.548,0.591,0.645,0.697,0.738,0.771,0.777,0.782,0.788,0.794
57, Barbados,0.749,0.771,0.791,0.808,0.822,0.834,0.846,0.848,0.851,0.854,0.855
50, Belarus,0.772,0.783,0.778,0.743,0.729,0.745,0.772,0.778,0.783,0.786,0.789
21, Belgium,0.818,0.838,0.858,0.874,0.889,0.906,0.923,0.926,0.929,0.932,0.935
101, Belize,0.763,0.786,0.788,0.762,0.743,0.754,0.765,0.765,0.766,0.768,0.769
166, Benin,0.42,0.462,0.515,0.537,0.543,0.571,0.597,0.6,0.603,0.606,0.609
132, Bhutan,0.385,0.442,0.5,0.56,0.626,0.691,0.737,0.743,0.749,0.755,0.762
119, Bolivia (Plurinational State of),0.462,0.5,0.54,0.583,0.626,0.669,0.714,0.722,0.731,0.737,0.743
85, Bosnia and Herzegovina,0.775,0.792,0.783,0.794,0.837,0.849,0.86,0.862,0.865,0.866,0.869
106, Botswana,0.626,0.657,0.657,0.558,0.442,0.532,0.668,0.677,0.68,0.683,0.685
75, Brazil,0.646,0.669,0.697,0.732,0.771,0.798,0.82,0.825,0.829,0.834,0.838
31, Brunei Darussalam,0.772,0.794,0.814,0.832,0.849,0.865,0.886,0.891,0.895,0.9,0.905
59, Bulgaria,0.788,0.789,0.789,0.783,0.791,0.808,0.823,0.826,0.829,0.832,0.834
183, Burkina Faso,0.4,0.451,0.454,0.452,0.469,0.518,0.571,0.578,0.585,0.589,0.595
184, Burundi,0.42,0.443,0.431,0.445,0.485,0.503,0.535,0.543,0.551,0.558,0.565
122, Cabo Verde,0.626,0.672,0.703,0.735,0.768,0.795,0.812,0.814,0.815,0.817,0.82
143, Cambodia,0.115,0.471,0.517,0.542,0.591,0.663,0.715,0.723,0.731,0.737,0.745
153, Cameroon,0.48,0.506,0.517,0.511,0.492,0.491,0.518,0.526,0.532,0.54,0.546
9, Canada,0.846,0.866,0.88,0.894,0.909,0.926,0.942,0.945,0.949,0.952,0.954
187, Central African Republic,0.445,0.46,0.446,0.414,0.378,0.382,0.426,0.437,0.448,0.46,0.472
185, Chad,0.38,0.402,0.414,0.422,0.425,0.431,0.46,0.468,0.474,0.48,0.486
42, Chile,0.738,0.775,0.811,0.845,0.875,0.905,0.929,0.934,0.94,0.945,0.949
90, China,0.715,0.742,0.754,0.768,0.795,0.826,0.846,0.849,0.852,0.855,0.858
97, Colombia,0.7,0.732,0.743,0.76,0.785,0.805,0.82,0.823,0.826,0.829,0.831
159, Comoros,0.471,0.52,0.565,0.595,0.608,0.617,0.643,0.649,0.655,0.66,0.666
136, Congo,0.555,0.562,0.54,0.495,0.471,0.517,0.603,0.617,0.631,0.642,0.651
176, Congo (Democratic Republic of the),0.406,0.426,0.446,0.448,0.462,0.518,0.568,0.575,0.583,0.589,0.595
69, Costa Rica,0.8,0.837,0.855,0.871,0.883,0.894,0.905,0.906,0.909,0.911,0.914
47, Croatia,0.772,0.788,0.805,0.826,0.843,0.854,0.871,0.874,0.877,0.878,0.882
67, Cuba,0.828,0.838,0.84,0.852,0.872,0.891,0.908,0.909,0.911,0.912,0.914
32, Cyprus,0.843,0.857,0.871,0.882,0.892,0.902,0.914,0.917,0.92,0.923,0.926
28, Czech Republic,0.78,0.785,0.797,0.817,0.842,0.863,0.886,0.891,0.895,0.898,0.902
172, C™te d'Ivoire,0.471,0.5,0.5,0.454,0.411,0.426,0.463,0.469,0.474,0.48,0.485
4, Denmark,0.837,0.84,0.846,0.855,0.871,0.891,0.912,0.917,0.92,0.925,0.926
168, Djibouti,0.517,0.546,0.565,0.571,0.569,0.585,0.622,0.629,0.635,0.642,0.646
94, Dominica,0.778,0.822,0.855,0.866,0.869,0.875,0.883,0.885,0.886,0.888,0.889
101, Dominican Republic,0.662,0.695,0.737,0.763,0.778,0.794,0.811,0.814,0.817,0.82,0.823
88, Ecuador,0.663,0.709,0.754,0.788,0.814,0.832,0.846,0.849,0.852,0.857,0.86
108, Egypt,0.589,0.643,0.686,0.72,0.748,0.76,0.775,0.777,0.78,0.783,0.786
116, El Salvador,0.56,0.602,0.677,0.728,0.751,0.775,0.798,0.803,0.808,0.812,0.815
138, Equatorial Guinea,0.366,0.408,0.434,0.466,0.494,0.517,0.552,0.56,0.566,0.572,0.578
186, Eritrea,0.358,0.385,0.435,0.498,0.555,0.594,0.638,0.648,0.657,0.666,0.672
30, Estonia,0.757,0.769,0.76,0.749,0.775,0.809,0.851,0.858,0.865,0.871,0.874
174, Ethiopia,0.365,0.378,0.417,0.451,0.491,0.558,0.635,0.648,0.658,0.669,0.678
