HDI Rank,Country,2011,2012,2013
171, Afghanistan,14,14,14
85, Albania,1,1,1
83, Algeria,1,1,1
34, Andorra,1,1,2
149, Angola,1,1,3
58, Antigua and Barbuda,1,1,1
40, Argentina,6,6,7
85, Armenia,2,2,3
2, Australia,8,8,8
23, Austria,7,7,7
78, Azerbaijan,6,6,5
55, Bahamas,1,1,1
45, Bahrain,1,1,1
142, Bangladesh,1,1,1
57, Barbados,7,7,7
50, Belarus,1,2,1
21, Belgium,1,1,1
101, Belize,2,1,4
166, Benin,15,15,15
132, Bhutan,2,3,3
119, Bolivia (Plurinational State of),2,3,2
85, Bosnia and Herzegovina,6,5,5
106, Botswana,2,2,2
75, Brazil,1,1,1
31, Brunei Darussalam,1,4,4
59, Bulgaria,4,4,4
183, Burkina Faso,7,6,6
184, Burundi,1,2,2
122, Cabo Verde,1,2,7
143, Cambodia,4,3,5
153, Cameroon,10,6,5
9, Canada,5,5,2
187, Central African Republic,31,31,65
185, Chad,45,45,45
42, Chile,2,10,8
90, China,1,1,1
97, Colombia,5,9,3
159, Comoros,8,9,15
136, Congo,10,10,10
176, Congo (Democratic Republic of the),15,14,14
69, Costa Rica,13,8,2
47, Croatia,3,2,2
67, Cuba,4,2,2
32, Cyprus,1,1,1
28, Czech Republic,1,1,1
172, Cote d'Ivoire,25,7,7
4, Denmark,6,3,3
168, Djibouti,11,15,13
94, Dominica,1,2,2
101, Dominican Republic,9,8,9
88, Ecuador,1,1,1
108, Egypt,3,6,3
116, El Salvador,10,8,3
138, Equatorial Guinea,35,38,45
186, Eritrea,1,3,3
30, Estonia,4,4,4
174, Ethiopia,20,18,16
90, Fiji,1,1,1
24, Finland,1,1,1
22, France,1,1,1
110, Gabon,18,14,20
175, Gambia,1,1,1
76, Georgia,5,6,1
6, Germany,2,2,2
140, Ghana,6,8,6
29, Greece,1,1,1
79, Grenada,2,1,1
128, Guatemala,6,4,3
182, Guinea,24,24,24
178, Guinea-Bissau,8,8,8
124, Guyana,3,1,2
163, Haiti,14,14,14
131, Honduras,8,12,12
44, Hungary,1,1,1
16, Iceland,1,3,3
130, India,12,12,12
110, Indonesia,2,2,2
69, Iran (Islamic Republic of),1,1,2
121, Iraq,10,13,18
6, Ireland,2,2,2
18, Israel,5,5,5
27, Italy,2,1,1
99, Jamaica,6,2,3
20, Japan,1,1,1
80, Jordan,2,2,1
56, Kazakhstan,1,1,1
145, Kenya,5,11,18
137, Kiribati,1,6,5
.., Korea (Democratic People's Rep. of),5,3,6
17, Korea (Republic of),1,1,1
48, Kuwait,1,1,1
120, Kyrgyzstan,3,4,2
141, Lao People's Democratic Republic,17,13,11
46, Latvia,5,5,4
67, Lebanon,16,16,16
161, Lesotho,3,3,3
177, Liberia,14,3,3
94, Libya,1,1,1
37, Lithuania,5,3,3
19, Luxembourg,1,1,1
154, Madagascar,20,20,20
173, Malawi,2,1,4
62, Malaysia,2,1,1
104, Maldives,3,1,1
179, Mali,18,18,18
37, Malta,1,1,1
.., Marshall Islands,1,3,27
156, Mauritania,9,5,5
63, Mauritius,1,1,1
74, Mexico,1,1,10
123, Micronesia (Federated States of),4,3,2
107, Moldova (Republic of),4,3,4
.., Monaco,1,1,1
90, Mongolia,1,1,2
49, Montenegro,2,2,2
126, Morocco,1,1,1
180, Mozambique,9,9,7
148, Myanmar,12,11,10
126, Namibia,12,11,6
.., Nauru,1,2,2
145, Nepal,4,10,6
5, Netherlands,1,1,1
9, New Zealand,5,6,7
125, Nicaragua,1,1,1
188, Niger,14,15,15
152, Nigeria,67,68,37
1, Norway,1,1,1
52, Oman,1,1,1
147, Pakistan,16,21,21
60, Palau,1,1,1
113," Palestine, State of",1,2,1
60, Panama,2,1,7
158, Papua New Guinea,17,15,12
112, Paraguay,3,4,7
84, Peru,6,1,3
115, Philippines,15,10,2
36, Poland,1,1,1
43, Portugal,1,1,1
32, Qatar,6,6,1
52, Romania,4,4,4
50, Russian Federation,3,3,3
163, Rwanda,2,1,1
77, Saint Kitts and Nevis,1,1,1
89, Saint Lucia,1,1,1
97, Saint Vincent and the Grenadines,2,2,4
105, Samoa,1,1,1
.., San Marino,10,2,28
143, Sao Tome and Principe,2,2,1
39, Saudi Arabia,1,2,2
170, Senegal,3,4,4
66, Serbia,2,9,2
64, Seychelles,1,2,1
181, Sierra Leone,3,2,2
11, Singapore,2,2,2
35, Slovakia,1,1,1
25, Slovenia,2,2,2
156, Solomon Islands,6,6,12
.., Somalia,48,48,48
116, South Africa,23,30,31
169, South Sudan,21,29,43
26, Spain,1,1,2
73, Sri Lanka,1,1,1
167, Sudan,1,1,1
103, Suriname,10,6,5
150, Swaziland,2,3,1
14, Sweden,1,1,1
3, Switzerland,2,2,2
134, Syrian Arab Republic,14,32,45
129, Tajikistan,2,4,2
151, Tanzania (United Republic of),4,1,1
93, Thailand,1,1,1
81, The former Yugoslav Republic of Macedonia,3,2,1
133, Timor-Leste,31,6,14
162, Togo,6,6,6
100, Tonga,1,5,1
64, Trinidad and Tobago,4,3,6
96, Tunisia,2,1,1
72, Turkey,2,3,1
109, Turkmenistan,2,2,1
.., Tuvalu,1,1,1
163, Uganda,9,11,11
81, Ukraine,50,24,10
41, United Arab Emirates,6,6,6
14, United Kingdom,2,1,2
8, United States,2,2,2
52, Uruguay,1,2,2
114, Uzbekistan,1,1,1
134, Vanuatu,22,22,22
71, Venezuela (Bolivarian Republic of),10,10,10
116, Viet Nam,3,1,17
160, Yemen,11,11,6
139, Zambia,13,14,14
155, Zimbabwe,1,1,2
