HDI Rank,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
171, Afghanistan,,,,,,,0.293,,,
85, Albania,,,,,0.005,,,,,
40, Argentina,0.015,,,,,,,,,
85, Armenia,,,,,,0.002,,,,
78, Azerbaijan,,0.009,,,,,,,,
142, Bangladesh,,,0.294,,,,0.237,,,
57, Barbados,,,,,,,,0.004,,
50, Belarus,0.001,,,,,,,,,
101, Belize,,0.028,,,,,0.03,,,
166, Benin,,0.401,,,,,,0.343,,
132, Bhutan,,,,,,0.128,,,,
119, Bolivia (Plurinational State of),,,,0.097,,,,,,
85, Bosnia and Herzegovina,,0.013,,,,,,0.006,,
75, Brazil,,0.017,,,,,,0.012,0.011,
183, Burkina Faso,,0.538,,,,0.508,,,,
184, Burundi,0.485,,,,,0.442,,,,
143, Cambodia,0.282,,,,,0.211,,,,
153, Cameroon,,0.304,,,,,0.26,,,
187, Central African Republic,,0.464,,,,0.424,,,,
185, Chad,,,,,,0.545,,,,
90, China,,,,,0.026,,,0.023,,
97, Colombia,,,,,,0.032,,,,
159, Comoros,,,,,,,,0.165,,
136, Congo,,,,,0.154,,,0.192,,
176, Congo (Democratic Republic of the),,,,,,0.399,,,,0.369
172, C™te d'Ivoire,0.269,,,,,,,0.307,,
168, Djibouti,,0.127,,,,,,,,
101, Dominican Republic,,,0.026,,,,,,0.025,
88, Ecuador,,0.043,,,,,,,,0.015
108, Egypt,,,,0.036,,,,,,0.016
174, Ethiopia,,,,,,,0.537,,,
110, Gabon,,,,,,,,0.073,,
175, Gambia,,0.329,,,,,,,0.289,
76, Georgia,0.008,,,,,,,,,
140, Ghana,,,,0.186,,,0.144,,,
182, Guinea,0.548,,,,,,,0.425,,
178, Guinea-Bissau,,0.495,,,,,,,,
124, Guyana,,,0.032,,0.031,,,,,
163, Haiti,,0.315,,,,,,0.242,,
131, Honduras,,0.156,,,,,,0.098,,
130, India,,0.282,,,,,,,,
110, Indonesia,,,0.043,,,,,0.024,,
121, Iraq,,0.077,,,,,0.052,,,
99, Jamaica,,,,,,0.014,,,,
80, Jordan,,,,,0.004,,,0.004,,
56, Kazakhstan,,0.007,,,,,0.004,,,
145, Kenya,,,,,0.226,,,,,
120, Kyrgyzstan,,0.013,,,,,,0.006,,
141, Lao People's Democratic Republic,,0.32,,,,,,0.186,,
161, Lesotho,,,,,0.227,,,,,
177, Liberia,,,0.459,,,,,,0.356,
94, Libya,,,0.005,,,,,,,
154, Madagascar,,,,,0.42,,,,,
173, Malawi,,,,,,0.332,,,,
104, Maldives,,,,,0.008,,,,,
179, Mali,,0.533,,,,,,,0.456,
156, Mauritania,,,0.362,,,,0.291,,,
74, Mexico,,0.028,,,,,,0.024,,
107, Moldova (Republic of),0.005,,,,,,,0.004,,
90, Mongolia,0.077,,,,,0.047,,,,
49, Montenegro,,0.012,,,,,,,0.002,
126, Morocco,,,,,,,0.069,,,
180, Mozambique,,,,,0.395,,0.39,,,
126, Namibia,,,0.2,,,,,,0.205,
145, Nepal,,0.314,,,,,0.197,,,
125, Nicaragua,,,0.137,,,,0.088,,,
188, Niger,,0.677,,,,,,0.584,,
152, Nigeria,,,,0.294,,,0.239,,0.279,
147, Pakistan,,,0.218,,,,,,0.237,
113," Palestine, State of",,,0.007,,,0.007,,,,
84, Peru,,,,0.069,,0.056,0.051,0.043,,
115, Philippines,,,,0.038,,,,,0.033,
163, Rwanda,0.481,,,,,0.352,,,,
89, Saint Lucia,,,,,,,,0.003,,
143, Sao Tome and Principe,,,,,0.217,,,,,
170, Senegal,0.436,,,,,,0.39,,0.296,0.278
66, Serbia,,0.011,,,,0.001,,,,0.002
181, Sierra Leone,,,,0.451,,0.405,,,0.411,
.., Somalia,,0.5,,,,,,,,
116, South Africa,,,,0.039,,,,0.041,,
169, South Sudan,,,,,,0.551,,,,
167, Sudan,,,,,,0.29,,,,
103, Suriname,,0.044,,,,0.033,,,,
150, Swaziland,,,,,,0.113,,,,
134, Syrian Arab Republic,,0.024,,,0.028,,,,,
129, Tajikistan,0.059,,,,,,,0.031,,
151, Tanzania (United Republic of),,,,,,0.335,,,,
93, Thailand,,0.004,,,,,,,,
81, The former Yugoslav Republic of Macedonia,0.013,,,,,,0.007,,,
133, Timor-Leste,,,,,,0.322,,,,
162, Togo,,0.277,,,,0.26,,,,0.242
64, Trinidad and Tobago,,0.007,,,,,,,,
96, Tunisia,,,,,,,,0.006,,
163, Uganda,,0.399,,,,,0.359,,,
81, Ukraine,,,0.002,,,,,0.001,,
114, Uzbekistan,,0.013,,,,,,,,
134, Vanuatu,,,0.135,,,,,,,
116, Viet Nam,,,,,,,0.026,,,
160, Yemen,,0.191,,,,,,,0.2,
139, Zambia,,,0.318,,,,,,,0.264
155, Zimbabwe,,0.193,,,,,0.181,,,0.128
