HDI Rank,Country,1980,1985,1990,1995,2000,2005,2010,2011,2012
85, Albania,80.9,81.4,76.6,49.5,58,66.6,62,60.5,
83, Algeria,99.7,99.6,99.9,99.9,99.8,99.6,99.8,99.9,
149, Angola,20,20.3,25.5,22.6,24.2,27,40.2,39.3,
58, Antigua and Barbuda,,,0,,,0,,,
40, Argentina,90.3,87.2,88.7,87.1,88.3,89.1,89.5,89.7,
85, Armenia,,,97,84.3,70,68.1,67.4,71.5,
2, Australia,93.2,92.9,93.9,93.8,94,94.2,95.1,94.8,95.4
23, Austria,85.9,81,79.1,77.9,76.5,77,70.1,68.8,67.1
78, Azerbaijan,,,99.9,98.7,98.3,97.1,96.9,97.9,
55, Bahamas,,,0,,,0,,,
45, Bahrain,100,100,,100,100,100,99.8,99.9,
142, Bangladesh,32.1,37.3,45.5,54.4,58.7,65.1,71.4,71.5,
57, Barbados,,,0,,,0,,,
50, Belarus,,,95.6,93,91.2,92,90.8,90.4,
21, Belgium,93.3,79.1,76,77.6,76.1,75,73.9,68.8,70.1
101, Belize,,,0,,,0,,,
166, Benin,9.7,10.2,4.8,3.8,25.5,31.1,41.6,41.7,
132, Bhutan,,,0,,,0,,,
119, Bolivia (Plurinational State of),66.1,59.6,67.2,75.1,76.1,81.5,73.1,72.7,
85, Bosnia and Herzegovina,,,93.9,68,87.9,88.5,91.6,93.9,
106, Botswana,,50.1,66,64.2,66.6,67.4,67.1,65.4,
75, Brazil,54.8,48.2,51.2,54.6,58.2,54.3,53.5,54.6,
31, Brunei Darussalam,99.3,99.7,99.9,100,,100,,100,
59, Bulgaria,91.4,85.7,84.1,78.7,72.5,73,73.2,75,
122, Cabo Verde,,,0,,,0,,,
143, Cambodia,,,,18,20.3,27.3,25.6,26.2,
153, Cameroon,15.6,20,18.7,16.2,16.3,15.5,30.9,26.8,
9, Canada,80.6,75.4,74.6,73.5,76.8,75.9,74.3,73.5,73.7
42, Chile,73.9,66.8,72.2,70,74.5,74.3,77.7,76.7,75.6
90, China,69.1,71.6,75.7,78.4,80.3,85.6,87.7,88.3,
97, Colombia,66.3,66.5,67.4,69.5,76,75.9,79.2,75.6,
159, Comoros,,,0,,,0,,,
136, Congo,37.6,40.9,33.3,27,21.9,32.5,45.7,48.9,
176, Congo (Democratic Republic of the),10.5,10.7,11.2,7.3,3.1,3.5,4,4.2,
69, Costa Rica,60.6,53.1,58.5,59.1,59,46.9,47.5,48.3,
47, Croatia,,,86.2,85.5,84.3,84.9,81.9,81.6,
67, Cuba,69,68.7,60.3,67.1,69.7,80,88.7,86.7,
32, Cyprus,99.3,99.3,99.5,97.4,97.9,97.4,95.4,94.9,
28, Czech Republic,99.6,98.4,91.7,89.3,89.8,83.7,79.5,78.9,76.9
172, C™te d'Ivoire,34.4,24.9,23.3,24.1,36.6,25.5,23.7,21.5,
4, Denmark,97.2,94.9,89.6,92.4,88.3,82.2,78.3,74.9,70.6
168, Djibouti,,,0,,,0,,,
94, Dominica,,,0,,,0,,,
101, Dominican Republic,61.4,66.3,75.3,83.8,88.5,88,89,89.3,
88, Ecuador,78.9,76.1,78.5,82,82.7,88.1,88.2,86.3,
108, Egypt,89.2,93.4,94.1,93.8,93.9,96,96.3,96.5,
116, El Salvador,24.1,23.5,31.4,46.7,44.9,44.1,46.1,47.9,
138, Equatorial Guinea,,,,,,0,,,
186, Eritrea,,,,26.8,28.3,34.5,22,21.7,
30, Estonia,,,,92,89.3,90,88.4,89.3,88.1
174, Ethiopia,3.5,3,4.1,4.1,4.3,5.1,5.5,5.7,
90, Fiji,,,0,,,0,,,
24, Finland,72.3,57.7,55.5,52.9,49.6,49,48.9,46.6,43
22, France,83.9,64.3,58.2,53.6,52.8,52.3,49.8,48.6,49.1
110, Gabon,55.3,47.2,32,33.4,32.1,36,39.6,38.9,
175, Gambia,,,0,,,0,,,
76, Georgia,,,88.8,68.3,59,64.4,64.7,72.8,
6, Germany,94.1,87.9,86.8,85.8,83.6,82.2,78.2,79.8,80.2
140, Ghana,18.8,19.6,18.2,18.8,23.4,25.2,35.4,37.4,
29, Greece,94.7,95.7,94.6,93.8,94.6,93.4,90.3,90.9,90.6
79, Grenada,,,0,,,0,,,
128, Guatemala,37.4,30.1,27.9,36.6,42.3,43.8,32.7,33.5,
178, Guinea-Bissau,,,0,,,0,,,
124, Guyana,,,0,,,0,,,
163, Haiti,9.9,13.3,19.7,17.8,23.3,25.7,28,22,
131, Honduras,29.7,27.2,30,41.2,48.3,55.5,51.4,51.6,
12," Hong Kong, China (SAR)",99.4,,,94.6,93.8,95.1,94.4,94.8,
