HDI Rank,Country,1980,1985,1990,1995,2000,2005,2010,2011,2012,2013
171, Afghanistan,,,,,,8.5,,8.2,,
85, Albania,,,,,,,14.2,14,13.4,
83, Algeria,,,19.8,27.9,29.8,15.3,10,10,11,9.8
40, Argentina,2.3,5.3,7.3,18.8,15,10.6,7.7,7.2,7.2,6.6
85, Armenia,,,,,,,19,18.4,,
2, Australia,6.1,8.3,6.9,8.5,6.3,5,5.2,5.1,5.2,
23, Austria,,3.6,3.2,3.7,3.5,5.2,4.4,4.1,4.3,4.9
78, Azerbaijan,,,,,11.8,7.3,5.6,5.4,5.2,5
55, Bahamas,,,,10.8,,10.2,,13.7,14,16.2
45, Bahrain,,,,,,,1.1,1.2,1.2,
142, Bangladesh,,1.8,,,3.3,4.3,4.5,,,
57, Barbados,11.4,18.7,15,19.7,9.3,9.1,10.8,11.2,11.6,
21, Belgium,,11.3,7.2,9.3,6.6,8.4,8.3,7.1,7.5,8.4
101, Belize,,,,12.5,,11,23.3,,14.4,11.7
166, Benin,,,,,,,1,,,
132, Bhutan,,,,,,3.1,3.3,3.1,2.1,
119, Bolivia (Plurinational State of),5.8,18.6,19,3.6,4.8,5.4,,2.7,,
85, Bosnia and Herzegovina,,,,,,,27.2,27.6,28.1,27.4
106, Botswana,,25.7,,,15.8,,17.9,,,
75, Brazil,,3.4,3.7,6,,9.3,,6.7,,
31, Brunei Darussalam,,,,,,,,1.7,,
59, Bulgaria,,,,15.7,16.2,10.1,10.2,11.3,12.3,12.9
183, Burkina Faso,,1.3,,,,2.7,,,,
184, Burundi,,,0.5,,,,,,,
122, Cabo Verde,,,23,,,,10.7,,,
143, Cambodia,,,,,2.5,,0.4,0.2,0.2,0.3
153, Cameroon,,,,,,4.4,3.8,,,
9, Canada,7.5,10.6,8.1,9.5,6.8,6.7,8,7.4,7.2,
42, Chile,10.4,12.2,5.7,4.7,9.2,8,8.1,7.1,6.4,
90, China,4.9,1.8,2.5,2.9,3.1,4.2,2.9,,,
97, Colombia,9.1,14,10.2,8.7,16.6,12,12,11.1,10.6,8.9
176, Congo (Democratic Republic of the),,,,,,3.7,,,,
69, Costa Rica,5.9,6.9,4.7,5.2,5.1,6.6,7.3,7.7,7.8,8.5
47, Croatia,,,,,16.1,12.6,11.8,13.4,15.8,17.3
67, Cuba,,,,8.3,5.4,1.9,2.5,3.2,,
32, Cyprus,,,,,5,5.3,6.3,7.9,11.8,15.9
28, Czech Republic,,,,4,8.8,7.9,7.3,6.7,7,7
172, C™te d'Ivoire,,,,4.1,,,,,9.4,
4, Denmark,,7.8,8.3,7,4.5,4.8,7.5,7.6,7.5,7
101, Dominican Republic,,,,15.8,14.2,18,12.4,14.7,14.7,15
88, Ecuador,,,6.1,6.9,9,7.7,5,4.2,4.1,
108, Egypt,5.2,,8.6,11.3,9,11.2,9,12,12.7,13.2
116, El Salvador,13.2,16.9,10,7.6,7,7.2,7,6.6,6.1,5.9
30, Estonia,,,0.6,9.7,13.4,8,16.7,12.3,10,8.6
174, Ethiopia,,,,,,5.4,18.9,18,17.6,4.5
90, Fiji,,8.1,6.4,5.4,,4.6,6.9,,,
24, Finland,4.7,5.1,3.1,15.3,9.7,8.4,8.4,7.7,7.6,8.2
22, France,6.4,10.3,9.4,11.8,10.2,8.9,9.3,9.2,9.8,9.9
110, Gabon,,,,,,,20.4,,,
76, Georgia,,,,,10.8,13.8,16.3,15.1,15,14.6
6, Germany,,,,8.1,7.7,11.1,7.1,5.9,5.5,5.3
140, Ghana,,,,,10.4,,4.2,,,
29, Greece,,7.8,7,9.1,11.1,9.8,12.5,17.7,24.2,27.3
128, Guatemala,,,,,1.4,,3.7,4.1,2.9,3
182, Guinea,,,,,,,1.6,1.7,1.7,
163, Haiti,,,12.7,,,,,,,
131, Honduras,,,4.8,3.2,,4.2,4.8,4.4,,3.9
12," Hong Kong, China (SAR)",3.7,3.2,1.3,3.2,4.9,5.6,4.3,3.4,3.3,3.4
44, Hungary,,,,10.2,6.4,7.2,11.2,10.9,10.9,10.2
16, Iceland,,,,4.9,2.3,2.6,7.6,7.1,6,5.4
130, India,,,,2.2,4.3,4.4,3.5,,3.6,
110, Indonesia,,2.2,,,6.1,11.2,7.1,6.6,6.1,6.2
69, Iran (Islamic Republic of),,,,,,12.1,13.5,,,10.4
121, Iraq,,,,,,18,,,,
6, Ireland,,17.9,14.1,12,4.3,4.3,13.9,14.6,14.7,13
18, Israel,4.8,6.7,9.6,6.9,8.8,9,6.6,5.6,6.9,
27, Italy,7.5,9.4,9.8,11.7,10.8,7.7,8.4,8.4,10.7,12.2
99, Jamaica,27.3,25,15.7,16.2,15.5,10.9,12.4,12.7,13.7,
20, Japan,2,2.6,2.1,3.2,4.8,4.4,5,4.5,4.3,
80, Jordan,,,,14.6,13.7,,12.5,12.9,12.2,
56, Kazakhstan,,,,11,12.8,8.1,5.8,5.4,5.3,5.2
137, Kiribati,,,,,,14.7,30.6,,,
17, Korea (Republic of),5.2,4,2.5,2.1,4.4,3.7,3.7,3.4,3.2,
48, Kuwait,,,,0.7,0.8,2,1.8,3.6,,
120, Kyrgyzstan,,,,,7.5,8.1,8.6,8.5,8.4,8.3
141, Lao People's Democratic Republic,,,,2.6,,1.4,,,,
46, Latvia,,,,,14.2,8.9,19.5,16.2,15,11.9
161, Lesotho,,,,,,,,,,24.4
177, Liberia,,,,,,,3.7,,,
94, Libya,,,,,,,,,19,
37, Lithuania,,,,17.1,15.9,8.3,17.8,15.4,13.4,11.8
19, Luxembourg,,3,1.6,2.9,2.3,4.5,4.4,4.9,5.1,5.8
154, Madagascar,,,,,5.8,2.6,3.8,,,
62, Malaysia,,5.6,4.5,3.1,3,3.5,3.4,3.1,3,
104, Maldives,,,,0.8,2,,,,,
179, Mali,,,,,,,7.3,,,
37, Malta,,,,,6.3,6.9,6.8,6.4,6.3,6.4
.., Marshall Islands,9.7,,,,,,,4.7,,
156, Mauritania,,,,,20.6,,,,,
63, Mauritius,,,,,8.8,9.6,7.7,7.9,8.7,7.6
74, Mexico,,,,6.9,2.6,3.5,5.2,5.2,4.8,
107, Moldova (Republic of),,,,,8.5,7.3,7.4,6.7,5.6,
.., Monaco,,,,,3.6,,,,,
90, Mongolia,,,,,,,6.5,4.8,8.2,7.9
49, Montenegro,,,,,,30.3,19.7,19.7,19.6,
126, Morocco,,,15.8,22.9,13.6,11,9.1,8.9,9,9.2
180, Mozambique,,,,,,,,,22.6,
148, Myanmar,,,6,,,,,,,
126, Namibia,,,,,20.3,,22.1,26.8,16.7,29.6
5, Netherlands,4.6,13.1,7.4,7,3,5.3,4.5,4.4,5.3,6.7
9, New Zealand,,,7.8,6.5,6.2,3.8,6.5,6.5,6.9,
125, Nicaragua,,3.2,10.9,16.9,9.8,5.6,8,,,5.3
188, Niger,,,,5.1,,,,,,
152, Nigeria,,,,,,,21.4,23.9,,
1, Norway,1.6,2.6,5.3,4.9,3.4,4.6,3.6,3.3,3.2,3.5
147, Pakistan,3.7,3.6,2.6,5,7.2,,,,,
60, Palau,,,,,,4.2,,,,
113," Palestine, State of",,,,,14.1,,23.7,21,23,23.3
60, Panama,,12.3,,14,13.5,9.8,6.5,4.5,4,4.1
158, Papua New Guinea,,,7.7,,2.9,,,,,
112, Paraguay,4.1,5.1,6.4,3.4,7.6,5.8,5.7,4.3,4.9,5
84, Peru,,,8.6,7.1,7.8,5.2,4,3.9,3.6,4
115, Philippines,4.8,6.1,8.1,8.4,11.2,7.7,7.3,7,7,7.1
36, Poland,,,,13.3,16.1,17.7,9.6,9.6,10.1,10.3
43, Portugal,6.7,8.2,4.4,6.8,3.9,7.6,10.8,12.7,15.5,16.2
32, Qatar,,,,,,,,0.6,0.5,0.3
52, Romania,,,,8,7,7.2,7.3,7.4,7,7.3
50, Russian Federation,,,,9.4,10.6,7.1,7.3,6.5,5.5,
163, Rwanda,,,,,,,,,3.4,
89, Saint Lucia,,,,15.9,16.5,18.7,20.6,18.9,19.1,22.2
97, Saint Vincent and the Grenadines,23.5,,,,,,,,,
105, Samoa,,,,,,,,5.7,,
.., San Marino,,6.5,4.9,2.9,,,4.4,5.1,6.1,6
143, Sao Tome and Principe,0.6,,,,14.4,,,,,
39, Saudi Arabia,,,,,4.6,,,4.4,5.6,5.6
170, Senegal,,,,,,,,10.4,,
66, Serbia,,,,,,20.8,19.2,23,23.9,22.1
64, Seychelles,,20.6,,,,5.5,,4.1,,
11, Singapore,3,4.4,,2.2,3.7,4.1,3.1,2.9,2.8,2.8
35, Slovakia,,,,13.1,18.8,16.2,14.4,13.6,13.9,14.2
25, Slovenia,,,,7.2,6.9,6.5,7.2,8.2,8.8,10.1
116, South Africa,,,,16.9,26.7,23.8,24.7,24.6,24.7,
26, Spain,11.1,21,16,22.7,13.9,9.1,19.9,21.4,24.8,26.1
73, Sri Lanka,,14.1,13.7,12.2,7.7,7.7,4.9,4.2,4,4.4
103, Suriname,,,15.7,8.4,,,7.6,,,4.8
150, Swaziland,,,,21.7,,,,,,
14, Sweden,2.2,3.1,1.8,9.1,5.8,7.7,8.6,7.8,8,8
3, Switzerland,,,2.1,3.3,2.7,4.4,4.5,4,4.2,4.4
134, Syrian Arab Republic,,,,7.2,2.3,,8.4,,,
151, Tanzania (United Republic of),,,,,,,,3.5,,
93, Thailand,0.9,3.7,2.2,,2.4,1.3,1,0.7,0.7,0.8
