HDI Rank,Country,1990,1995,2000,2005,2010,2011,2012,2013
85, Albania,,,,,,59.2,62.8,58.1
83, Algeria,,,,34.4,,29.5,,26.9
40, Argentina,25.6,24.1,22.8,21.4,19,18.6,19,
85, Armenia,,,,,27.5,29.8,,
2, Australia,10.3,11,10.4,9.8,,,,
23, Austria,,9.4,8.5,8.5,9,8.9,8.6,8.7
78, Azerbaijan,,,,62.6,,,,56.4
45, Bahrain,,,,2.2,2,,,
142, Bangladesh,,,68.9,85,,,,
57, Barbados,11.7,12.3,12.5,,,,,
21, Belgium,17.3,16,11.5,10.6,9.9,10.2,10.3,10.8
101, Belize,,25.5,,23.5,,,,
132, Bhutan,,,,,68.8,70.9,53.1,
119, Bolivia (Plurinational State of),39.6,40.5,66.1,60,,,,
85, Bosnia and Herzegovina,,,,,26.6,25.2,27.4,25.3
106, Botswana,,,,,12.9,,,
75, Brazil,29.3,35.8,27.4,28.4,,,,
59, Bulgaria,,,14,10.2,9,8.5,8,8.2
122, Cabo Verde,,,39.6,,,,,
143, Cambodia,,,84.5,,69.8,68.5,64.1,
153, Cameroon,,,,79.8,76.4,,,
42, Chile,,,27.6,27,,,,
97, Colombia,,29.6,43.4,45.4,48.6,48.8,48.6,
136, Congo,,,,75.1,,,,
69, Costa Rica,24.7,22.5,23.5,21.1,20.4,20.2,20.2,
47, Croatia,,,18.8,19.9,17.8,18,16.5,13.7
32, Cyprus,,,18.1,15.8,13.8,13.4,12.5,13.5
28, Czech Republic,,8.1,10.8,12.3,14.1,14.4,15,14.5
4, Denmark,7,5.3,4.9,5.2,5.5,5.5,5.6,5.6
101, Dominican Republic,,38.1,40.6,42.7,37.1,,,
88, Ecuador,36.1,34.1,42.6,41.6,41.8,43.9,51.2,
108, Egypt,,26,22.9,25.3,23.1,23.1,21.8,26.4
116, El Salvador,,36.6,37.4,38.8,37.7,37.9,37.5,37.6
30, Estonia,2.3,4.7,5.1,5.3,5,4.8,5.1,5.4
174, Ethiopia,,,,91.2,,,,
90, Fiji,,,,39,,,,
24, Finland,,12.1,9.2,8.8,9.2,9.3,9.6,9.4
22, France,10.9,9,7.1,6.5,7,7.2,7.1,7
110, Gabon,,,,52.9,,,,
76, Georgia,,,59.9,64.2,60.6,,,
6, Germany,6.1,5.6,5.8,7.5,6.7,6.9,6.8,6.5
140, Ghana,,,,,76.8,,,
29, Greece,42,39.7,34,28.1,27.8,28.5,29.6,30.3
128, Guatemala,,,46.7,,,,,
131, Honduras,48.9,45.7,,47.7,53.3,,,
12," Hong Kong, China (SAR)",,5.4,5.7,7.7,6.4,6.6,6.9,
44, Hungary,,8.8,10.2,7.8,6.8,6.8,6.4,6
16, Iceland,,12.2,10.6,8.8,8.4,8.2,8.1,8.3
130, India,,,83.4,83.1,80.8,,,
110, Indonesia,,,64.9,63.4,61.6,57.2,50,33
6, Ireland,19.9,16.3,13.1,11.4,11.8,11.6,11.7,12.7
18, Israel,,7.1,7.1,7.5,,,,
27, Italy,27.3,16.4,15.4,19.5,18.5,18.3,18.2,17.9
99, Jamaica,,37.3,37.9,34.5,,36.9,37.5,
20, Japan,19.2,15.3,13.8,12.1,,,,
80, Jordan,,,11.8,3,9.6,9.4,9.7,
56, Kazakhstan,,,,34.4,31,30.4,29.2,28.6
17, Korea (Republic of),,,30,26.3,,,,
48, Kuwait,,,,2.1,,2.2,,
120, Kyrgyzstan,,,,48.5,,,,
141, Lao People's Democratic Republic,,90.1,,88,,,,
46, Latvia,,,10.7,8.1,7.6,7.7,7.5,7.4
177, Liberia,,,,,78.7,,,
37, Lithuania,,,18,15.1,8.6,8.2,8.9,9.6
19, Luxembourg,8.2,5,3.4,5.2,4.9,5.9,5.7,6.2
154, Madagascar,,,,86.4,88.3,,,
62, Malaysia,,24.9,22.8,21.2,21.7,19.8,21.4,22.2
104, Maldives,46.3,53.9,50.3,,,,,
37, Malta,,,8.2,9.3,9.9,,9.1,
63, Mauritius,11.5,,12.9,16.7,16,15.1,17.1,
74, Mexico,25.9,37.1,31.8,31,,,,
107, Moldova (Republic of),,,36.5,36.3,28.6,28.7,28.6,30.5
90, Mongolia,,,56.6,,56.1,54.9,51.4,
126, Morocco,,,,57.7,50.3,51.5,50.7,
126, Namibia,,,27.7,,34.6,26.4,32.7,7.8
5, Netherlands,8.9,8.7,8,8.6,11.1,11.2,11.5,12.3
9, New Zealand,,12.8,13.5,11.9,,,,
125, Nicaragua,,39,46.4,45.4,47.1,,,
188, Niger,,,,84.8,,,,
1, Norway,,6.1,5.8,5.9,5.6,5.2,5.2,5.1
147, Pakistan,,64.9,63.6,61.2,,,,
113," Palestine, State of",,,29.2,36.2,26,27,26.7,25.6
60, Panama,,29.5,30.5,31.8,30.9,29.3,29.2,
112, Paraguay,22.9,,,48.8,43.2,42.3,43.2,
84, Peru,36.2,35.6,43.7,51.9,47.7,47.8,46.3,
115, Philippines,,,44.5,44.8,41.7,41.2,39.8,
36, Poland,,25.9,23.5,21.8,18.7,18.6,18.2,17.6
43, Portugal,24.3,21.4,19.6,20,18,16.4,17,16.7
32, Qatar,,,,,,,,0.2
52, Romania,,37,45,33.7,33.1,31.5,31.5,30.9
50, Russian Federation,,2,7.7,6.2,,,,
89, Saint Lucia,,25.5,28.7,,,,,
105, Samoa,,,,,,38.1,,
170, Senegal,,,,,,58,,
66, Serbia,,,,24.4,28.6,26.2,26.4,28.6
11, Singapore,,,,,9.2,9.6,9.3,8.7
35, Slovakia,,4.5,5.4,9.4,12.4,12.4,12.4,12.4
25, Slovenia,,13.3,12.4,11.9,13.5,13.2,12.8,13.6
116, South Africa,,,,,10.2,10,,
26, Spain,22.5,20.2,14.5,12.9,11.2,11.2,12.1,12.8
73, Sri Lanka,43,37.7,41.4,37.6,41.9,42.2,40.7,43.1
103, Suriname,,13.3,,,,,,
14, Sweden,,8.4,7.1,6.9,7,6.8,6.7,6.8
3, Switzerland,,9.2,9.7,9.6,9.1,9.4,9.1,9.1
134, Syrian Arab Republic,,,,,36.8,32.9,,
151, Tanzania (United Republic of),,,,,,85.6,,74
93, Thailand,70.3,61.4,57.1,53.1,52.7,53.5,53.5,55.9
81, The former Yugoslav Republic of Macedonia,,,21.4,22.4,23.1,22.5,22.1,23.4
133, Timor-Leste,,,,,69.6,,,
64, Trinidad and Tobago,21.7,20.8,17.7,15.6,,,,
96, Tunisia,,,,31,31.5,28.8,,
72, Turkey,,,46.3,40.7,33.8,33.1,32.1,31.3
163, Uganda,,,,80.6,,,,
81, Ukraine,,,,,,18.2,17.8,18.1
41, United Arab Emirates,,,,1.6,,,,
14, United Kingdom,,10.1,9.1,10.1,11.3,11.7,12.1,12.1
52, Uruguay,,,23.3,24.7,22.2,,,
71, Venezuela (Bolivarian Republic of),,32.2,36.9,31.2,33,32.8,31.8,30.3
116, Viet Nam,,,80.1,,,62.5,62.5,62.6
160, Yemen,,,,,29.6,,,
139, Zambia,64.7,,81.3,81,,,,
