HDI Rank,Country,2000,2005,2010,2011,2012,2013,2014,2015
171, Afghanistan,,25.9,25.9,27.6,27.6 f,27.6 g,27.6 h,27.6
85, Albania,5.2,7.1,16.4,16.4,15.7 f,15.7 g,17.9 h,20.7
83, Algeria,4,5.3,7,7,7.2 f,7.2 g,25.8 h,25.7
34, Andorra,7.1,28.6,35.7,35.7,50.0 f,50.0 g,50.0 h,50
149, Angola,15.5,15,38.6,38.6,38.2 f,38.2 g,34.1 h,36.8
58, Antigua and Barbuda,8.3,13.9,19.4,19.4,19.4 f,19.4 g,19.4 h,25.7
40, Argentina,21.3,37.4,37.8,37.8,37.7 f,37.7 g,37.7 h,36.8
85, Armenia,3.1,5.3,9.2,9.2,8.4 f,8.4 g,10.7 h,10.7
2, Australia,25,28.3,30.1,28.3,29.2 f,29.2 g,31.5 h,30.5
23, Austria,25.1,32.2,28.3,28.3,28.7 f,28.7 g,,30.3
78, Azerbaijan,,13,11.4,16,16.0 f,16.0 g,16.0 h,15.6
55, Bahamas,19.6,26.8,17.9,17.9,17.9 f,17.9 g,16.7 h,16.7
45, Bahrain,,7.5,13.8,15,18.8 f,18.8 g,18.8 h,15
142, Bangladesh,9.1,14.8,18.6,18.6,19.7 f,19.7 g,19.7 h,20
57, Barbados,20.4,17.6,19.6,19.6,19.6 f,19.6 g,21.6 h,19.6
50, Belarus,,29.8,32.1,32.1,32.1 f,32.1 g,29.5 h,30.1
21, Belgium,24.9,35.7,38.9,38.5,38.9 f,38.9 g,38.9 h,42.4
101, Belize,13.5,11.9,11.1,11.1,11.1 f,13.3 g,13.3 h,13.3
166, Benin,6,7.2,10.8,10.8,8.4 f,8.4 g,8.4 h,8.4
132, Bhutan,9.3,9.3,13.9,13.9,13.9 f,13.9 g,6.9 h,8.3
119, Bolivia (Plurinational State of),10.2,14.7,30.1,30.1,30.1 f,30.1 g,30.1 h,51.8
